Technology Name,Source
Future of Space Technologies,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
3D-Printed Houses Using Local Materials,WEF Top 10 Emerging Technologies 2021
Decarbonization Technologies,WEF Top 10 Emerging Technologies 2021
Disease-Diagnosing Breath Sensors,WEF Top 10 Emerging Technologies 2021
Energy Harvesting from Wireless Signals,WEF Top 10 Emerging Technologies 2021
Engineering Better Aging,WEF Top 10 Emerging Technologies 2021
Green Ammonia,WEF Top 10 Emerging Technologies 2021
On-Demand Drug Manufacturing,WEF Top 10 Emerging Technologies 2021
Self-Fertilizing Crops,WEF Top 10 Emerging Technologies 2021
Space-Based Connectivity,WEF Top 10 Emerging Technologies 2021
Wireless Biomarker Devices,WEF Top 10 Emerging Technologies 2021
AI-facilitated healthcare,WEF Top 10 Emerging Technologies 2023
Designer phages,WEF Top 10 Emerging Technologies 2023
Flexible batteries,WEF Top 10 Emerging Technologies 2023
Flexible neural electronics,WEF Top 10 Emerging Technologies 2023
Generative artificial intelligence,WEF Top 10 Emerging Technologies 2023
Metaverse for mental health,WEF Top 10 Emerging Technologies 2023
Spatial omics,WEF Top 10 Emerging Technologies 2023
Sustainable aviation fuel,WEF Top 10 Emerging Technologies 2023
Sustainable computing,WEF Top 10 Emerging Technologies 2023
Wearable plant sensors,WEF Top 10 Emerging Technologies 2023
AI for Scientific Discovery,WEF Top 10 Emerging Technologies 2024
Alternative Livestock Feeds,WEF Top 10 Emerging Technologies 2024
Carbon-capturing Microbes,WEF Top 10 Emerging Technologies 2024
Elastocalorics,WEF Top 10 Emerging Technologies 2024
Genomics for Transplants,WEF Top 10 Emerging Technologies 2024
High-Altitude Platform Stations,WEF Top 10 Emerging Technologies 2024
Immersive Technology for the Built Worls,WEF Top 10 Emerging Technologies 2024
Integrated Sensing and Communcation,WEF Top 10 Emerging Technologies 2024
Privacy-Enhancing Technologies,WEF Top 10 Emerging Technologies 2024
Reconfigurable Intelligent-Surfaces,WEF Top 10 Emerging Technologies 2024
